id_analyse,nom_analyse,nom_prenom,nageur_sexe,competition_nom,mois_annee,distance_course,style_nage,round,temps_final,temps_reaction,temps_vol,temps_depart,DISTANCE_FIN_COULEE,LONGUEUR,TEMPS_FIN_COULEE,TEMPS_DE_PASSAGE
10519126,200 4 Nages Series GFT 2021 NICE,DUHAMEL Cyrielle,f,GFT 2021 NICE,2021-02,200,4 Nages,Series,135.74,0.6,0.87,1.47,11.56;58.47;108.47;155.66,0;50;100;150,5.78;34.65;70.15;107.06,29.42;64.04;103.56;135.74
1054775,200 Dos Finale CF 2017 STRASBOURG,DUHAMEL Cyrielle,f,CF 2017 STRASBOURG,2017-05,200,Dos,Finale,135.75,0.67,0.75,1.42,11.28;56.85;106.33;155.67,0;50;100;150,6.39;35.29;69.78;104.28,31.86;66.47;101.5;135.75
10591,200 Brasse Finale CF 2018 SAINT RAPHAEL,VAN WYNSBERGHE François,m,CF 2018 SAINT RAPHAEL,2018-05,200,Brasse,Finale,135.75,0.68,0.96,1.6400000000000001,14.04;59.96;109.93;159.42,0;50;100;150,6.57;37.02;71.33;105.74,30.84;65.12;99.9;135.75
1054303,200 Dos Series GOLDEN FFN TOUR 2017 NICE,DURIEUX Damien,m,GOLDEN FFN TOUR 2017 NICE,2017-02,200,Dos,Series,135.76,0.69,0.81,1.5,14.26;59.92;108.76;158.44,0;50;100;150,7.49;36.83;70.53;105.31,31.36;65.85;100.66;135.76
1055401,200 Dos Series CF 2018 SAINT RAPHAEL,LEFEBVRE Louise,f,CF 2018 SAINT RAPHAEL,2018-05,200,Dos,Series,135.76,0.65,0.9,1.55,12.96;59.46;108.36;158.00,0;50;100;150,6.78;36.78;69.99;105.3,31.73;65.56;101.21;135.76
10518680,200 Papillon Finale GFT 2021 MARSEILLE,FAVE Anna,f,GFT 2021 MARSEILLE,2021-03,200,Papillon,Finale,135.77,0.6,0.87,1.47,10.93;56.06;105.47;155.45,0;50;100;150,5.35;33.98;68.57;104.13,30.25;65.12;100.7;135.77
10515412,200 Dos Finale CF 2022 LIMOGES,GUITON Lou Anne,f,CF 2022 LIMOGES,2022-04,200,Dos,Finale,135.78,0.64,0.78,1.42,9.48;57.37;106.22;156.21,0;50;100;150,5.41;35.78;69.27;103.92,32.04;66.07;100.76;135.78
10521541,200 Brasse Finale GFT 2023 MARSEILLE,VERGNES Lucien,m,GFT 2023 MARSEILLE,2023-03,200,Brasse,Finale,135.79,0.6,0.87,1.47,15.67;60.78;110.01;159.46,0;50;100;150,7.47;36.91;70.72;106.2,30.33;64.52;100.28;135.79
1054304,200 4 Nages Series GOLDEN FFN TOUR 2017 NICE,PICARD Anthony,m,GOLDEN FFN TOUR 2017 NICE,2017-02,200,4 Nages,Series,135.81,0.6,0.8,1.4,12.24;57.52;109.51;157.34,0;50;100;150,5.49;33.8;71.39;108.93,28.83;64.71;104.57;135.81
10515751,200 Brasse Finale CF 2022 LIMOGES,VERGNES Lucien,m,CF 2022 LIMOGES,2022-04,200,Brasse,Finale,135.82,0.6,0.9,1.5,15.08;61.15;110.20;160.18,0;50;100;150,7.31;37.51;72.19;107.36,30.72;65.83;100.81;135.82
10519184,200 4 Nages Finale GFT 2021 NICE,VOGELMANN Zoe,f,GFT 2021 NICE,2021-02,200,4 Nages,Finale,135.82,0.6,0.83,1.43,10.91;57.71;107.62;154.82,0;50;100;150,5.04;33.59;68.72;107.33,29.23;64.14;104.42;135.82
10518925,200 Dos Finale GFT 2021 NICE,BOURSE Claire,f,GFT 2021 NICE,2021-02,200,Dos,Finale,135.86,0.5,0.72,1.22,13.21;59.12;108.13;158.26,0;50;100;150,7.15;37.65;71.33;106.35,32.95;67.19;102.12;135.86
